date,platform,sentiment,keyword,share_of_voice,influencer,engagement
2024-01-26,Instagram,Neutral,#good,85,Whitney Cole,370
2024-02-17,LinkedIn,Neutral,experience,30,Peter Huynh,404
2024-04-20,Instagram,Positive,product,70,Elizabeth Allen,855
2024-05-03,Facebook,Neutral,#great,71,Jessica Richardson,203
2024-04-08,LinkedIn,Neutral,experience,52,Donna Myers,567
2024-05-14,LinkedIn,Positive,#great,96,Roger Wilson,522
2024-01-07,Facebook,Negative,#bad,14,James Massey,636
2024-04-06,Twitter,Neutral,#bad,34,Christopher Nash,681
2024-05-19,Facebook,Neutral,service,25,Ashley Cantrell,84
2024-04-21,Instagram,Negative,#good,36,Anna Barrett,198
2024-03-15,LinkedIn,Negative,experience,78,Jeffrey Williams,368
2024-01-13,Facebook,Negative,#okay,1,Kimberly White,361
2024-01-24,LinkedIn,Negative,#good,69,Stephanie Mora,99
2024-03-14,Facebook,Negative,#terrible,94,Nicholas Barry,633
2024-01-11,LinkedIn,Neutral,feedback,93,Justin Wall,479
2024-01-05,Facebook,Positive,#okay,90,Jeffery Crawford,301
2024-05-22,Facebook,Negative,#good,11,Deborah Hill,970
2024-02-15,Facebook,Positive,#okay,76,Veronica Gray,775
2024-02-19,Facebook,Negative,#bad,32,Sarah Brown,987
2024-03-10,Twitter,Neutral,experience,38,Peter Hernandez,792
2024-02-12,LinkedIn,Neutral,service,40,Cheryl Kerr,220
2024-05-15,LinkedIn,Neutral,#okay,5,Alexander Watson,455
2024-04-06,Instagram,Negative,#good,4,Bradley Collins,911
2024-03-20,Facebook,Positive,#awesome,4,Karen Mercado,974
2024-05-15,Instagram,Positive,service,20,Anthony Ortiz,978
2024-02-22,LinkedIn,Positive,feedback,66,Margaret Long,588
2024-02-11,Facebook,Neutral,service,47,Cynthia Cooper,907
2024-02-15,Twitter,Neutral,#awesome,37,Cheryl Miller,984
2024-02-19,Instagram,Positive,experience,87,Michael Ward,497
2024-03-09,LinkedIn,Positive,#great,81,Taylor Ramirez,497
2024-04-21,Facebook,Negative,#bad,69,Angela Carter,113
2024-02-22,Instagram,Neutral,#good,3,Patrick George,680
2024-02-18,Instagram,Negative,#great,98,Melissa Evans,615
2024-02-23,LinkedIn,Neutral,service,29,Jennifer Smith,77
2024-05-10,Twitter,Negative,#okay,77,Brent Austin,58
2024-03-01,Twitter,Positive,#bad,61,Terri Stevens,481
2024-03-20,Facebook,Neutral,#great,90,Frank Mercado,697
2024-04-25,Instagram,Neutral,experience,73,Alfred Wood,644
2024-05-23,Facebook,Negative,#good,31,Antonio Townsend,265
2024-05-01,Instagram,Positive,feedback,33,Clayton Thompson,300
2024-01-02,LinkedIn,Positive,#terrible,41,Julie Cook,407
2024-04-02,Twitter,Positive,service,91,Erik Reed,390
2024-02-29,Twitter,Neutral,#awesome,8,Elizabeth Parks,498
2024-05-02,Twitter,Positive,#bad,94,Stephanie Huynh,805
2024-04-07,Twitter,Positive,#awesome,83,Alyssa Simmons,285
2024-02-02,Instagram,Positive,service,30,Carol Hood,618
2024-05-12,Instagram,Neutral,#great,76,Haley Butler,93
2024-05-01,Twitter,Neutral,experience,32,Wendy Montes,716
2024-02-18,Instagram,Negative,#great,68,Jamie Fletcher,806
2024-04-30,LinkedIn,Negative,service,27,Jeff Perez,900
2024-02-21,LinkedIn,Positive,#okay,17,Miranda Brown,119
2024-02-04,Twitter,Neutral,#bad,85,Brad Myers,833
2024-04-29,Instagram,Negative,#awesome,51,Nancy Jones,635
2024-04-06,Twitter,Negative,product,81,Nicole Robinson,293
2024-01-03,Facebook,Positive,#terrible,24,Diamond Cooper,244
2024-01-18,Facebook,Positive,experience,87,James Williams,405
2024-04-24,LinkedIn,Positive,#okay,58,Laura Davis,773
2024-02-25,Instagram,Negative,#great,71,William Schultz,871
2024-03-25,LinkedIn,Negative,#bad,8,Jeffrey White,674
2024-03-12,Instagram,Neutral,service,38,Christopher Henson,745
2024-03-19,Twitter,Negative,#awesome,88,Blake Gonzalez,148
2024-04-06,LinkedIn,Negative,#awesome,76,Tiffany Butler,745
2024-03-21,Instagram,Positive,#good,46,Madison Medina,953
2024-03-13,Instagram,Negative,feedback,29,Thomas Harrison,164
2024-04-14,LinkedIn,Negative,#okay,55,Dr. Stacey Moss,196
2024-02-17,Twitter,Neutral,#terrible,42,Susan Gardner,289
2024-01-18,LinkedIn,Neutral,feedback,59,Joseph Mitchell,125
2024-02-26,LinkedIn,Negative,#bad,88,Latasha Stout,626
2024-02-05,LinkedIn,Negative,#great,48,Ronald Cooper,824
2024-02-15,LinkedIn,Positive,#good,58,Andrew Morgan,1000
2024-03-06,Instagram,Positive,#okay,5,Michelle Conway,398
2024-05-18,Twitter,Neutral,#good,24,Heidi Martinez,925
2024-05-21,Facebook,Positive,#bad,62,Mr. William Velazquez,485
2024-04-13,Twitter,Positive,#good,38,Brandy Kelley,548
2024-01-21,LinkedIn,Neutral,#great,91,Arthur Lee,640
2024-01-05,Instagram,Neutral,experience,54,Dr. Ruben Chapman,624
2024-01-14,Twitter,Positive,#great,61,Brenda Jarvis,760
2024-03-28,Facebook,Negative,service,12,John Lawson,201
2024-04-16,Twitter,Positive,#bad,43,Barbara Davis,834
2024-01-07,Facebook,Neutral,#terrible,79,Angela Baker,884
2024-01-13,LinkedIn,Negative,#good,98,Tracey Chambers,742
2024-04-02,Facebook,Negative,#terrible,32,Julie Wells,807
2024-03-24,LinkedIn,Negative,#okay,9,Ryan Porter,365
2024-01-11,Facebook,Neutral,#terrible,23,Jeffery Brooks,381
2024-04-29,Instagram,Positive,#okay,72,Francis Wagner,854
2024-03-12,Twitter,Positive,experience,92,Angel Diaz MD,885
2024-03-11,LinkedIn,Negative,#bad,28,William Leblanc,504
2024-04-30,Facebook,Neutral,#bad,6,Alan Jordan,575
2024-01-06,LinkedIn,Positive,#awesome,15,Aaron Brown,300
2024-05-19,Instagram,Positive,#okay,94,Julia Scott,278
2024-05-19,Facebook,Negative,#awesome,68,Laura Lewis,682
2024-03-10,Twitter,Neutral,experience,43,Michael Kline,507
2024-03-29,LinkedIn,Neutral,service,94,Amanda Grant,618
2024-02-25,LinkedIn,Negative,#great,68,Tammy Dillon,613
2024-05-09,Instagram,Positive,service,63,Paul Armstrong,249
2024-02-27,Instagram,Positive,#terrible,65,Jeffrey Kirk,662
2024-03-02,Twitter,Positive,product,15,Shawn Rivera,788
2024-04-07,Facebook,Positive,experience,37,Ronald Melendez,969
2024-03-14,Facebook,Negative,product,69,Grant Kennedy,840
2024-04-24,Facebook,Positive,#great,29,Kimberly Bailey,370
2024-04-22,LinkedIn,Negative,experience,21,Jason Calhoun,630
2024-02-22,Facebook,Positive,#great,30,Brian Franklin,144
2024-01-15,Facebook,Positive,#good,85,Jessica Stafford,177
2024-03-19,Instagram,Negative,#awesome,2,Jerome Steele,144
2024-05-05,LinkedIn,Positive,feedback,77,Michael Jenkins,42
2024-02-18,Instagram,Neutral,feedback,40,Kristine Macdonald,245
2024-04-08,LinkedIn,Neutral,product,40,Sharon Romero,840
2024-04-15,Instagram,Neutral,#bad,76,Anna Mejia,676
2024-02-08,LinkedIn,Negative,#okay,24,Brittany Morse,917
2024-02-01,Facebook,Negative,#okay,61,Joseph Tucker,214
2024-04-13,LinkedIn,Neutral,#great,92,James Ramos,986
2024-02-13,Twitter,Positive,service,38,Eric Bell,351
2024-05-22,Instagram,Positive,#okay,32,Rebecca Marshall,967
2024-05-21,LinkedIn,Negative,#okay,40,Michael Kelly,553
2024-02-01,LinkedIn,Positive,#great,10,Sandra Butler,651
2024-03-26,Instagram,Negative,product,70,Mr. Darren Jackson,81
2024-03-31,Facebook,Negative,#okay,73,Anne Simpson,686
2024-04-02,LinkedIn,Negative,#terrible,4,Heather Dunn,156
2024-05-23,LinkedIn,Negative,#awesome,58,William Boone,257
2024-03-22,Instagram,Positive,feedback,64,Gary Palmer,585
2024-02-06,Twitter,Positive,service,11,Jonathan Silva,385
2024-04-08,Facebook,Neutral,service,87,Christine Hunt,218
2024-04-22,LinkedIn,Negative,service,80,Chelsey Cook,554
2024-03-18,Facebook,Positive,#okay,23,Nicole Mccarty,13
2024-02-18,Facebook,Neutral,product,13,Holly Mitchell,311
2024-02-26,LinkedIn,Negative,experience,17,Jeffrey Rogers,772
2024-01-20,Facebook,Neutral,experience,9,Claudia Graves,145
2024-04-07,LinkedIn,Neutral,product,39,Stacy Crawford,17
2024-02-13,Instagram,Positive,#bad,81,Ruben Jones,14
2024-05-17,Facebook,Negative,#great,30,Randy Scott,993
2024-04-02,Twitter,Neutral,experience,70,Sharon Webb,852
2024-05-17,LinkedIn,Negative,service,14,Michael Moore,705
2024-01-01,Facebook,Neutral,product,85,Shawn Jacobson,574
2024-01-26,Twitter,Positive,#okay,47,Clayton Murillo,737
2024-05-11,Facebook,Negative,feedback,67,Mrs. Julie Wong MD,606
2024-05-11,Instagram,Neutral,#terrible,44,Angela Howard,102
2024-04-02,Instagram,Negative,product,15,Cory Kim,791
2024-05-16,Facebook,Positive,experience,92,Whitney Bowers,257
2024-02-18,Twitter,Neutral,feedback,88,Betty Jackson,828
2024-04-01,Twitter,Positive,#great,34,Kimberly Norton,786
2024-02-16,Facebook,Neutral,product,50,Tyler Hawkins,492
2024-04-22,Facebook,Positive,#okay,66,George Price,415
2024-04-08,Instagram,Negative,#bad,42,Justin Cox,974
2024-03-22,Facebook,Negative,#bad,88,Eric Taylor,709
2024-05-13,Facebook,Negative,experience,82,Meghan Williams,451
2024-04-30,Facebook,Neutral,#bad,82,Angela Phillips,969
2024-04-02,LinkedIn,Neutral,#bad,77,Claire Harris,552
2024-01-01,Twitter,Neutral,#great,99,Debra Carey,317
2024-04-07,Instagram,Negative,#terrible,50,Alexandra Coleman,90
2024-01-01,LinkedIn,Neutral,#bad,6,Christopher Holder,446
2024-01-22,Facebook,Negative,#awesome,46,Nancy Randall,780
2024-03-08,Twitter,Positive,experience,35,John Jones,544
